ComplaintID,Username,Email,Area,Category,Description,Status,StatusCategory,AssignedOfficer,OfficerName,DaysInSystem,AreaCategoryLoad
7996,pp,pp,Bapumagar,water,"water",Pending,Waiting,Unassigned,N/A,234,1
1040,user40,user40@example.com,Bapunagar,drainage,"Complaint 1040 about drainage in Bapunagar",Pending,Waiting,prao_dra,prao_dra,234,5
6536,gaurav1,gaurav@gmail.com,Bapunagar,drainage,"Bad smell",Pending,Waiting,prao_dra,prao_dra,234,5
1016,user16,user16@example.com,Bapunagar,drainage,"Complaint 1016 about drainage in Bapunagar",Pending,Waiting,prao_dra,prao_dra,234,5
1020,user20,user20@example.com,Bapunagar,drainage,"Complaint 1020 about drainage in Bapunagar",Pending,Waiting,prao_dra,prao_dra,234,5
9756,dd,dd@gmail.com,Bapunagar,Drainage,"Drainage chokes",In Progress,Active,prao_dra,prao_dra,234,5
1024,user24,user24@example.com,Bapunagar,electricity,"Complaint 1024 about electricity in Bapunagar",Pending,Waiting,nkulkarni_ele,nkulkarni_ele,234,4
4168,Gaurav,gaurav@gmail.com,Bapunagar,electricity,"not working",Pending,Waiting,nkulkarni_ele,nkulkarni_ele,234,4
1015,user15,user15@example.com,Bapunagar,electricity,"Complaint 1015 about electricity in Bapunagar",Pending,Waiting,nkulkarni_ele,nkulkarni_ele,234,4
1023,user23,user23@example.com,Bapunagar,electricity,"Complaint 1023 about electricity in Bapunagar",Pending,Waiting,nkulkarni_ele,nkulkarni_ele,234,4
1039,user39,user39@example.com,Bapunagar,road maintanence,"Complaint 1039 about road maintanence in Bapunagar",Pending,Waiting,cdesai_roa,cdesai_roa,234,2
2069,dev,dev@1234,bapunagar,road maintanence,"road ma khaaha bau che , varsaad ma bau takleef pade che ",Pending,Waiting,cdesai_roa,cdesai_roa,234,2
4879,parth,asaasd,Bapunagar,water,"water",Resolved,Completed,ajoshi_wat,ajoshi_wat,234,1
1031,user31,user31@example.com,Ellisbridge,drainage,"Complaint 1031 about drainage in Ellisbridge",Pending,Waiting,ayadav_dra,ayadav_dra,234,5
1046,user46,user46@example.com,Ellisbridge,drainage,"Complaint 1046 about drainage in Ellisbridge",Pending,Waiting,ayadav_dra,ayadav_dra,234,5
1047,user47,user47@example.com,Ellisbridge,drainage,"Complaint 1047 about drainage in Ellisbridge",Pending,Waiting,ayadav_dra,ayadav_dra,234,5
1003,user3,user3@example.com,Ellisbridge,drainage,"Complaint 1003 about drainage in Ellisbridge",Pending,Waiting,ayadav_dra,ayadav_dra,234,5
1010,user10,user10@example.com,Ellisbridge,drainage,"Complaint 1010 about drainage in Ellisbridge",Pending,Waiting,ayadav_dra,ayadav_dra,234,5
1037,user37,user37@example.com,Ellisbridge,electricity,"Complaint 1037 about electricity in Ellisbridge",Pending,Waiting,ayadav_ele,ayadav_ele,234,3
1045,user45,user45@example.com,Ellisbridge,electricity,"Complaint 1045 about electricity in Ellisbridge",Pending,Waiting,ayadav_ele,ayadav_ele,234,3
1001,user1,user1@example.com,Ellisbridge,electricity,"Complaint 1001 about electricity in Ellisbridge",Pending,Waiting,ayadav_ele,ayadav_ele,234,3
1030,user30,user30@example.com,Ellisbridge,other,"Complaint 1030 about other in Ellisbridge",Pending,Waiting,pmehta_oth,pmehta_oth,234,3
1038,user38,user38@example.com,Ellisbridge,other,"Complaint 1038 about other in Ellisbridge",Pending,Waiting,pmehta_oth,pmehta_oth,234,3
1041,user41,user41@example.com,Ellisbridge,other,"Complaint 1041 about other in Ellisbridge",Pending,Waiting,pmehta_oth,pmehta_oth,234,3
1007,user7,user7@example.com,Ellisbridge,road maintanence,"Complaint 1007 about road maintanence in Ellisbridge",Pending,Waiting,amehta_roa,amehta_roa,234,3
1034,user34,user34@example.com,Ellisbridge,road maintanence,"Complaint 1034 about road maintanence in Ellisbridge",Resolved,Completed,amehta_roa,amehta_roa,234,3
